캐릭터,표정상태,명령,대사
,/show,피핑;-1.5;1
,/show,누룩;-3.5;1
,/show,비숑;-5.5;1
피핑,1,이곳은 어느 학교앞..
피핑,1,수많은 지역에서 싸우기 위해 이 학교로 온다.
피핑,1,그들이 싸우는 이유는 단 하나
바로 '천운'을 얻을 수 있는 주사위
피핑,1,미너스 다이스를 얻기 위해
매일 이곳에서 '운'을 겨루는 싸움을 한다
누룩,2,뭔 혼잣말을 이렇게 하는거임?
피핑,3,그리고 우리는 이 싸움에 참가하게된다!!!!
누룩,1,그래 드디어 너가 미쳤구나
피핑,2,에이 왜그럼 이렇게 분위기 잡고 가는게
얼마나 중요한데
누룩,2,비숑아 근데 너 들고있는게 뭐니?
비숑,1,커튼봉
무기 들고오라해서 제일 강해보이는걸 들고왔지
피핑,1,싸울때 제대로 흔들 수 있겠니?
비숑,1,어릴때 이거 가지고 많이 휘둘러 봐서 알아
피핑,1,으음.. 그래
누룩,3,이야 드디어 보이는구만!
,/show,툽;3.5;0
툽,3,어서와!
미너스학교에 온걸 환영해!
툽,3,아 참고로 이 학교이름은 공식이 아니야
딱히 이름이 없거든!
피핑,2,어.. 네 혹시 이름이
툽,1,난 툽이야.
툽,1,너희같은 순수한 뉴비들이 이 환경에 쉽게 적응하도록 도와주지
누룩,2,그럼 빨리 싸우시죠
비숑,2,벌써?
툽,1,뉴비여서 그런가 아직 이곳에 대해 자세히 모르는구만
툽,1,좋아 거두절미하고 빠르게 진행하는 것도 나쁘지 않지
툽,3,안으로 들어와라!
한명씩 들어와줘~
누룩,3,좋아 좋아 이런 진행
피핑,2,싸우는거다!
비숑,1,와
